"timestamp [UTC]",message,type,innermostMessage
"24/09/2025, 08:09:16.498","Job host started",,
"24/09/2025, 08:09:16.498","Host started (91ms)",,
"24/09/2025, 08:09:16.423","Host initialized (16ms)",,
"24/09/2025, 08:09:16.423","Initializing function HTTP routes
No HTTP routes mapped
",,
"24/09/2025, 08:09:16.423","HttpOptions
{
  ""DynamicThrottlesEnabled"": false,
  ""EnableChunkedRequestBinding"": false,
  ""MaxConcurrentRequests"": -1,
  ""MaxOutstandingRequests"": -1,
  ""RoutePrefix"": ""api""
}",,
"24/09/2025, 08:09:16.421","Function group target is function:servicebustrigger",,
"24/09/2025, 08:09:16.419","The 'AutoCompleteMessages' option has been overriden to 'False' value for 'Functions.serviceBusTrigger' function.",,
"24/09/2025, 08:09:16.418","Found the following functions:
Host.Functions.serviceBusTrigger
",,
"24/09/2025, 08:09:16.412","Generating 1 job function(s)",,
"24/09/2025, 08:09:16.409","1 functions loaded",,
